,ISO3,Calsuff_2000,Calsuff_ssp1,Calsuff_ssp2,Calsuff_ssp3,Calsuff_ssp4,Calsuff_ssp5,trade_dep_2013,GDP_ssp1_2010,GDP_ssp1,GDP_ssp2,GDP_ssp3,GDP_ssp4,GDP_ssp5,name,Trade_1998,Trade_2001,Trade_2013
31,COG,1.1148264024434775,0.8630067639523609,0.8709618078179913,0.9838643250638308,1.3896918445783986,0.8635340187012253,0.2787747716631425,3.8080633193173385,24.080332020258865,16.661383101112108,11.352073085031623,10.45861755343338,29.96768475593128,Republic of Congo,0.3438563695147605,0.28042613141758843,0.27877477166314246
32,COL,1.4873904392765505,1.0211638450414722,1.0909944525545985,0.7426157673938784,1.233377320213894,1.3023920245935119,0.2908608476006897,8.479317420887785,31.22384231365123,23.199890453834115,16.104844520813703,22.809282174044977,38.6606013208203,Colombia,0.3660995482626236,0.3913356318241793,0.29086084760068975
33,CRI,1.6761889508905594,0.7987095608351641,0.8018781505830214,0.9364663876892008,0.8366035756202385,0.8346828668547431,0.5363886211896277,10.452242970594549,34.66515544041451,27.07853325415677,19.81700267869731,25.697795275590554,42.579548965091135,Costa Rica,0.5065767764339939,0.49591052525394164,0.5363886211896277
34,CUB,1.3558625611491577,1.145485603207253,1.3051669677498337,1.3362608826380038,1.3674444461297264,1.215219505439231,0.2433123360963643,5.747024338248357,22.467978652434958,16.124564838990427,10.939367311072054,15.775570776255707,29.413564929693965,Cuba,0.7845004868123853,0.6812703622905719,0.24331233609636427
35,CYP,1.4291808250890932,0.9715952217260986,1.2550546680796582,1.2631481041383508,1.2340324741981643,0.8188115423844152,0.0,18.901268115942027,30.868874172185432,25.896770107663077,21.318304172274562,30.113055181695827,37.67708959711365,Cyprus,0.0,0.0,0.0
36,CZE,3.1624949945793186,2.4883426286109134,2.6566145633443616,2.36709847440573,2.607142516423756,2.3084779412520136,0.7431287856592281,23.69570189650243,63.03931793725685,60.439764183185225,54.543923108722616,65.57092423282339,71.72159338267305,Czech Republic,0.4787558109670138,0.5637100989708702,0.7431287856592281
37,DEU,2.7761743429296937,2.237717444519176,2.3770238530670005,2.2571626652332064,2.3153829129776584,2.112093265235313,0.43075293976793305,33.13806468858594,58.06093246611148,55.63857497592864,51.061171131913866,60.805636098825474,66.67855200469903,Germany,0.5090791977288013,0.5464685703279024,0.43075293976793305
38,DJI,0.12899809258649486,0.19864050689226054,0.24228888033433765,0.2593072261944516,0.13696520179808885,0.19782404067075526,0.0,2.1192350956130483,15.197051978277734,11.930333817126272,8.299384825700614,8.19257221458047,18.622361219702896,Djibouti,0.0,0.0,0.0
39,DNK,6.923153655855192,4.635680603707546,4.592174794646064,4.335924420659173,4.776433737918446,4.351492547411188,0.8794356331733912,32.46270270270271,53.23288679523038,51.563888043808944,47.99156582324899,56.82524432665231,60.036994219653174,Denmark,1.0,1.0,0.8794356331733912
40,DOM,0.8371672106155651,0.5191962168931684,0.7050389300890949,0.387720738682982,0.6765195125279969,0.7283521397988795,0.16376039675343956,8.387226755313792,29.575718904202823,23.53396283886689,16.50952289954774,22.904789670970427,35.53747072599531,Dominican Republic,0.23009488899168196,0.09129949093565193,0.16376039675343956
